busco_id	a_halleri	a_thaliana	c_grandiflora
74742at33090	Ah8G22750.1	AT5G56740.1	Cagra.4138s0015.1.p
76849at33090	Ah4G28630.1	AT2G40550.1	Cagra.1642s0018.1.p
79950at33090	Ah1G20730.1	AT1G17850.2	Cagra.2175s0018.1.p
8072at33090	Ah8G29640.1	AT5G62600.1	Cagra.4003s0048.1.p
83749at33090	Ah3G32510.1	AT2G04540.1	Cagra.1097s0008.1.p
84264at33090	Ah3G15030.2	AT3G13225.2	Cagra.0690s0044.1.p
87347at33090	Ah3G26450.1	AT3G21540.1	Cagra.1954s0002.1.p
87734at33090	Ah6G21180.1	AT5G19210.2	Cagra.4243s0005.1.p
88295at33090	Ah3G17640.1	AT3G14910.1	Cagra.0007s0035.1.p
88687at33090	Ah3G02440.3	AT3G05480.3	Cagra.0410s0015.1.p
88771at33090	Ah2G00460.2	AT1G64430.2	Cagra.1255s0004.1.p
89796at33090	Ah1G36860.1	AT1G31780.1	Cagra.1508s0028.1.p
90301at33090	Ah1G09050.1	AT1G08490.1	Cagra.4395s0039.1.p
9044at33090	Ah1G00930.7	AT1G01220.1	Cagra.3782s0022.1.p
9058at33090	Ah5G07100.2	AT3G28030.3	Cagra.5146s0004.1.p
90872at33090	Ah1G50130.1	AT1G51610.1	Cagra.2346s0016.1.p
92579at33090	Ah5G29380.2	AT3G58460.2	Cagra.0686s0055.1.p
95807at33090	Ah1G06130.1	AT1G06110.1	Cagra.1671s0240.1.p
96953at33090	Ah4G37580.1	AT2G47790.1	Cagra.0551s0034.1.p
97593at33090	Ah5G00060.2	AT2G01120.2	Cagra.2315s0009.1.p
9849at33090	Ah8G10440.1	AT5G48120.1	Cagra.2766s0001.1.p
